t_min,t1_img_per_s,t2_img_per_s,t1_p95_s,t2_p95_s
0.5003425035169736,2.1333179505450763,0.33333092977266815,7.610091115004615,18.215137352095912
1.0003601751998454,3.1999611531071084,0.4333280728165876,5.946595125220483,16.614376718213315
1.5003779055832032,3.7333046513464145,0.399996926929973,4.910714411200024,16.35200921895157
2.000396646349691,3.733301967621118,0.3999966393879769,5.035841186152538,16.038014275819297
2.50041249144997,3.666642468050724,0.43333047349690373,4.810242766636657,16.61288627600297
3.000422964300378,3.6666571653778326,0.43333221045374387,4.656764607626246,20.001517113624125
3.5004463492834477,3.799935397421287,0.4333259663726029,4.675230154034216,15.452254358970094
4.0004602449334925,3.6333112678700115,0.4666638325704602,4.778227906406391,15.566414168974733
4.500474966850016,3.666655499623665,0.4333320135918877,4.695109546466847,14.241275218396913
5.000495491100204,3.6666390662826833,0.4666631538905233,4.793721444479888,15.960395464752219
5.500520297733601,3.699894346314767,0.3999885779799748,4.76381007800228,15.423966047985594
6.000538306833672,3.6999757710762267,0.4666636107663709,4.7315229785162956,16.946516035639796
6.500549859750511,3.6999710316911285,0.3999968682909328,4.869477006490342,15.839393095346168
7.000566238417135,3.699990379650247,0.4333322066257046,4.696588849503314,14.474194848025217
7.500594010750259,3.733266327298558,0.43332555584715404,4.74375761449628,17.22052716797916
8.000618752417116,3.6665982852191004,0.4999906752571501,4.72375372814422,14.869486986694392
8.500642089683485,3.766627311440464,0.399995820683943,4.66022119980771,15.403713737233193
9.000664252350301,3.6999892753335915,0.4333320772913215,4.66855332950945,17.160315019381233
9.500687279566773,3.699975256532165,0.4666635458689217,4.655460196518106,14.956638636201387
10.000709000050362,3.7332904454166735,0.49999425608259024,4.6557896593556505,15.343742738832951
10.500733358133584,3.733265511471855,0.43332546115298315,4.693121935048839,15.228532453963997
11.000755238650406,3.7999902095758213,0.4333322168814533,4.612009921122808,14.306478524592238
11.500770937233272,3.79998833872464,0.4333320035387747,4.665049054592965,15.21448526139138
12.000795433083356,3.6666553417163046,0.499998455688587,4.7127710249624215,14.959509977611013
12.500818228833184,3.699986277619862,0.39999851649944457,4.777686612505931,14.878822959089302
13.000839929049835,3.6999719001936593,0.43333004236502315,4.730153397511458,19.868839314009513
13.5008720638667,3.699989344157738,0.4333320853518071,4.7278560049890075,15.711163481371477
14.000899261483573,3.766643207506735,0.43333063449192527,4.730498423788231,16.664361843420192
14.500925296500403,3.733261825063193,0.4999904229995348,4.8748575801873795,18.516067083791118
15.000351667966848,3.7043836075342287,0.43384672881031505,4.71572967551765,16.112291972618547
