t_s,temp_c,sm_clock_mhz,power_w,gpu_util_pct,throttle_active,system_ram_used_gb
0.0004758790018968284,50.0,2405.0,11.4,3.0,False,120.559321088
2.036246462026611,62.0,2470.0,77.29,96.0,False,120.563224576
4.083099324023351,64.0,2463.0,79.24,96.0,False,120.556531712
6.116908414987847,61.0,2502.0,59.35,96.0,False,120.577277952
8.168304803024512,59.0,2502.0,53.29,96.0,False,120.598605824
10.215201027982403,60.0,2496.0,55.24,96.0,False,120.58556416
12.257570241985377,56.0,2509.0,36.45,96.0,False,120.584810496
14.296795886999462,56.0,2515.0,35.78,96.0,False,120.576159744
16.349776424001902,60.0,2515.0,50.9,96.0,False,120.559501312
18.397107356984634,56.0,2502.0,35.88,96.0,False,120.573366272
20.448758570011705,56.0,2515.0,35.73,96.0,False,120.58456064
22.507012160029262,61.0,2502.0,55.64,96.0,False,120.576233472
24.554542106983718,56.0,2515.0,35.77,96.0,False,120.595173376
26.60390654002549,60.0,2496.0,47.24,96.0,False,120.585281536
28.65861467499053,57.0,2509.0,46.09,96.0,False,120.589213696
30.708060315984767,56.0,2515.0,35.71,96.0,False,120.595968
32.78291230701143,65.0,2470.0,71.39,96.0,False,120.60573696
34.82282403099816,61.0,2496.0,59.28,96.0,False,120.609820672
36.86977802502224,66.0,2470.0,77.5,96.0,False,120.606736384
38.911822249996476,63.0,2483.0,65.66,96.0,False,120.595296256
40.9505487770075,58.0,2502.0,40.12,96.0,False,120.601493504
43.0010755439871,57.0,2515.0,46.06,96.0,False,120.569430016
45.04665087797912,58.0,2509.0,31.23,96.0,False,120.571662336
47.07746081898222,57.0,2515.0,35.23,96.0,False,120.631209984
49.1279259090079,57.0,2509.0,42.44,96.0,False,120.588214272
51.18513180897571,55.0,2509.0,29.34,96.0,False,120.659628032
53.214593606011476,55.0,2515.0,28.63,96.0,False,120.536887296
55.27826091600582,60.0,2509.0,51.78,96.0,False,120.604975104
57.329117194982246,60.0,2502.0,46.55,96.0,False,120.626671616
59.37792267400073,57.0,2509.0,35.99,96.0,False,120.668561408
61.43304305302445,60.0,2509.0,48.86,96.0,False,120.710455296
63.48097916698316,57.0,2515.0,35.49,96.0,False,120.734019584
65.59957845200552,64.0,2515.0,70.53,96.0,False,120.708739072
67.63888411899097,66.0,2515.0,71.63,96.0,False,120.7225344
69.73284342099214,62.0,2483.0,58.66,96.0,False,120.71821312
71.793817125028,67.0,2470.0,78.07,96.0,False,120.728629248
73.84305458201561,59.0,2515.0,36.34,96.0,False,120.745160704
75.89414527697954,61.0,2515.0,49.07,95.0,False,120.7631872
77.93688001099508,58.0,2515.0,42.1,96.0,False,120.754102272
79.99605306697777,58.0,2515.0,36.25,96.0,False,120.787718144
82.04174159502145,61.0,2502.0,48.9,96.0,False,120.797044736
84.0903246870148,58.0,2515.0,41.21,96.0,False,120.680951808
86.13731810601894,58.0,2515.0,46.42,96.0,False,120.683008
88.19072056998266,59.0,2496.0,44.0,96.0,False,120.677122048
90.34724279702641,60.0,2502.0,43.66,96.0,False,120.62365696
92.39964693598449,62.0,2515.0,47.95,96.0,False,120.626642944
94.45350678602699,59.0,2515.0,40.39,96.0,False,120.59389952
96.50856396101881,58.0,2515.0,44.43,96.0,False,120.595759104
98.55584977701074,66.0,2483.0,72.76,96.0,False,120.577908736
100.60897325497353,66.0,2483.0,67.47,96.0,False,120.588283904
102.65869762498187,66.0,2476.0,66.2,96.0,False,120.5960704
104.69979233597405,59.0,2515.0,36.72,96.0,False,120.577667072
106.76696689397795,60.0,2509.0,37.2,96.0,False,120.548274176
108.80634627799736,59.0,2509.0,48.76,96.0,False,120.558841856
110.85651681601303,59.0,2509.0,39.08,96.0,False,120.569540608
112.90729102201294,63.0,2502.0,51.7,96.0,False,120.555081728
114.95799224899383,59.0,2515.0,43.29,96.0,False,120.549371904
117.01483378000557,61.0,2509.0,41.2,95.0,False,120.549081088
119.07350234198384,58.0,2515.0,31.62,96.0,False,120.5613568
121.10404924600152,58.0,2509.0,45.36,96.0,False,120.594436096
123.15648563398281,58.0,2509.0,39.99,96.0,False,120.577912832
125.21228750498267,62.0,2509.0,51.98,96.0,False,120.592072704
127.26178113999777,62.0,2509.0,46.85,96.0,False,120.59785216
129.30220484000165,64.0,2489.0,63.92,96.0,False,120.567447552
131.35010219097603,66.0,2483.0,66.43,96.0,False,120.555347968
133.4002887699753,65.0,2483.0,63.37,96.0,False,120.577445888
135.4602157039917,62.0,2483.0,55.94,96.0,False,120.55498752
137.5071126309922,59.0,2515.0,40.75,96.0,False,120.562139136
139.56244832702214,59.0,2509.0,43.99,96.0,False,120.552730624
141.62491981498897,60.0,2496.0,53.92,96.0,False,120.554467328
143.68050902697723,61.0,2502.0,43.88,96.0,False,120.554704896
145.731641151011,59.0,2515.0,37.7,96.0,False,120.543997952
147.81695705500897,59.0,2515.0,42.03,96.0,False,120.541700096
149.87252900999738,58.0,2515.0,40.43,96.0,False,120.558399488
151.9351382899913,61.0,2502.0,47.36,96.0,False,120.531877888
154.00011366402032,57.0,2515.0,27.68,96.0,False,120.518627328
156.0370902150171,61.0,2509.0,46.08,96.0,False,120.52668416
158.0822082189843,62.0,2483.0,62.58,96.0,False,120.528842752
160.12319768301677,63.0,2496.0,63.31,96.0,False,120.546914304
162.15903777698986,64.0,2483.0,64.99,96.0,False,120.541155328
164.20411829900695,65.0,2470.0,71.42,96.0,False,120.537993216
166.24825514102122,60.0,2515.0,37.75,96.0,False,120.540905472
168.3028549880255,63.0,2483.0,50.14,96.0,False,120.538189824
170.35323602199787,59.0,2509.0,42.47,96.0,False,120.555507712
172.40497967897682,60.0,2515.0,42.71,96.0,False,120.547815424
174.45321029197657,62.0,2489.0,48.52,96.0,False,120.547991552
176.51192355901003,59.0,2515.0,40.63,96.0,False,120.55433216
178.57522781402804,62.0,2509.0,45.9,96.0,False,120.574021632
180.6185018219985,59.0,2515.0,38.36,96.0,False,120.56659968
182.6739057369996,58.0,2515.0,37.28,96.0,False,120.556515328
184.72089561301982,61.0,2502.0,42.86,96.0,False,120.568991744
186.79325721302303,59.0,2515.0,42.41,96.0,False,120.522379264
188.84369495499413,66.0,2476.0,70.89,96.0,False,120.529555456
190.88310564501444,64.0,2483.0,73.39,96.0,False,120.531546112
192.91756799200084,64.0,2483.0,60.61,96.0,False,120.51550208
194.96027438598685,67.0,2483.0,69.65,96.0,False,120.528052224
197.01747467298992,61.0,2509.0,41.8,95.0,False,120.541257728
199.07576044398593,61.0,2502.0,41.81,96.0,False,120.54161408
201.1259832039941,60.0,2483.0,48.05,96.0,False,120.561405952
