t_min,t1_img_per_s,t2_img_per_s,t1_p95_s,t2_p95_s
0.5002419300998251,2.1332798160254827,0.0,8.388390825799432,
1.0002599424663154,2.9333102929616857,0.19999842906556947,6.775461976003134,35.08860680223734
1.50027897125013,2.9332797670481363,0.19999634775328204,6.379141948506001,35.607725250025396
2.00029816100044,3.0666284673115918,0.19999750873771252,6.051642859593267,33.059398475743365
2.5003186762003073,2.8999495372078727,0.1999965198074395,6.546364037721651,34.605457204786944
3.000345272066382,3.033273676325109,0.19999606657088634,6.0540295595128555,31.41572540999914
3.500363409049654,2.966641670931605,0.1999983148942655,6.132369193609338,33.14164607775456
4.0003725886170285,2.7999929500866925,0.19999949643476375,6.523226846315083,33.67640943075821
4.500388881467128,3.0333243814858712,0.1999994097682992,6.146584287489532,32.223159840956214
5.000404880849723,2.8333158272223096,0.199998764274516,6.819863731181249,33.10188161075348
5.500416386433062,3.033326104410185,0.19999952336770452,5.9024825934902765,31.25026873400202
6.000435098117062,2.9999799952371835,0.19999866634914557,6.292343225402874,30.235318838254898
6.500451098332997,2.933309774163235,0.19999839369294783,5.974962988792686,30.77484479371924
7.0004642411668705,3.066645479519393,0.1999986182295256,6.168776009956491,32.27525713953946
7.500485070666764,2.999980536526384,0.19999870243509227,6.726912951908889,33.25657484072144
8.000502721199883,2.9999532343251913,0.19999688228834608,6.121240633208072,30.572944944244227
8.500518583566494,3.0333129684837257,0.19999865726266325,6.121861311024986,32.66167486377526
9.000539908899615,2.966645181631569,0.1999985515706676,6.078051175398286,32.059741147983004
9.500560617166533,3.0333012721423485,0.19999788607531968,5.904392982512945,30.76157795698964
10.00058270098331,2.866644968268324,0.19999848615825516,6.698285333477543,30.92144633702992
10.500612190083483,3.0999280780474803,0.199995359874031,5.74044010360958,32.16903487026866
11.000636504566257,3.066614458169473,0.1999965950980091,5.966127301027882,29.532760213769507
11.500662503983282,2.9333164661799116,0.19999884996681216,6.166722253442276,31.074810607751715
12.000677651383254,2.999978230358914,0.19999854869059427,6.154912085461547,32.187399921240285
12.500704335516396,2.933303932343485,0.19999799538705582,6.09257150197518,32.32639275328256
13.000725395616609,2.99997794666474,0.19999852977764934,6.210278103497694,33.004683609775384
13.500752601367033,3.066645073602161,0.19999859175666268,5.774503594412818,30.187033666021307
14.000777012332886,2.9999514179837576,0.19999676119891718,6.126493569157901,31.816802438755985
14.50081006163382,2.9333033549724297,0.1999979560208475,6.314093147130915,29.96588513677125
15.000233056833773,2.9034536525097043,0.20023818293170376,6.173723974608584,29.72414234674943
