perturbation,roc_auc,recall,false_positive_rate,valid_json_rate
none,0.9653333333333333,0.8333333333333334,0.02,1.0
darker (x0.6),0.9563999999999999,0.8266666666666667,0.03333333333333333,1.0
brighter (x1.4),0.9607111111111111,0.8533333333333334,0.04666666666666667,1.0
blur (r=2),0.9515111111111112,0.82,0.04,1.0
JPEG q=30,0.9448444444444445,0.8133333333333334,0.05333333333333334,1.0
rotate 5 deg,0.9292000000000001,0.8266666666666667,0.09333333333333334,1.0
