defect_rate,escape_cost_usd,escapes_per_1000,false_rejects_per_1000,vlm_calls_per_1000,human_reviews_per_1000,cost_per_1000_usd,human_every_part_usd,tier1_alone_usd,escalated_buckets
0.005,10,1.0344827586206882,0.0,114.29024653736157,15.857947520263732,18.27380134633875,500.0,134.3761006132211,agree_defect
0.005,50,1.0344827586206882,0.0,114.29024653736157,15.857947520263732,59.65311169116627,500.0,164.47014450036843,agree_defect
0.005,200,0.7280564263322878,0.0,114.29024653736157,72.65341767725344,181.9379941050843,500.0,277.322809077171,"agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.005,1000,0.7280564263322878,0.0,114.29024653736157,72.65341767725344,764.3831351709146,500.0,879.2036868201177,"fast_accept, agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.01,10,2.0689655172413772,0.0,118.02272415041955,19.763703805467806,30.571507075147675,500.0,141.26216138580475,agree_defect
0.01,50,1.456112852664576,0.0,118.02272415041955,76.58173575291299,111.09651050968529,500.0,201.45024916009942,"agree_defect, t1_flag_t2_good, t1_good_t2_defect"
0.01,200,1.456112852664576,0.0,118.02272415041955,76.58173575291299,329.5134384093717,500.0,427.15557831370444,"agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.01,1000,1.4294670846394981,0.0,118.02272415041955,118.02272415041955,1488.4784467147078,500.0,1630.9173337995978,"fast_accept, agree_good, agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.02,10,4.1379310344827545,0.0,125.48767937653855,27.57521637587597,55.16691853276553,500.0,155.03428293097204,agree_defect
0.02,50,2.912225705329152,0.0,125.48767937653855,84.43837190423287,187.83047121857402,500.0,275.4104584795614,"agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.02,200,2.912225705329152,0.0,125.48767937653855,84.43837190423287,624.6643270179468,500.0,726.8211167867714,"fast_accept, agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.02,1000,2.8589341692789962,0.0,125.48767937653855,125.48767937653855,2921.6780089672657,500.0,3134.344627758558,"fast_accept, agree_good, agree_defect, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.05,10,7.280564263322882,11.354581673306772,147.88254505489004,56.99852627109119,124.01406911538794,500.0,196.35064756647392,"t1_flag_t2_good, t1_good_t2_defect"
0.05,50,7.280564263322882,11.354581673306772,147.88254505489004,56.99852627109119,415.23663964830325,500.0,497.2910864379473,"t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.05,200,7.14733542319749,11.354581673306772,147.88254505489004,96.87279096779048,1500.612643470007,500.0,1625.8177322059723,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.05,1000,7.14733542319749,11.354581673306772,147.88254505489004,96.87279096779048,7218.480982027999,500.0,7644.62650963544,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.1,10,14.561128526645764,10.756972111553784,185.20732118547767,57.224144175648455,195.73730157738942,500.0,265.2112552923104,"t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.1,50,14.561128526645764,10.756972111553784,185.20732118547767,57.224144175648455,778.18244264322,500.0,867.0921330352571,"fast_accept, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.1,200,14.29467084639498,10.756972111553784,185.20732118547767,95.1400042463378,2928.0181156252725,500.0,3124.145424571307,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.1,1000,14.29467084639498,10.756972111553784,185.20732118547767,95.1400042463378,14363.754792741258,500.0,15161.762979430243,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.2,10,29.122257053291527,9.56175298804781,259.85687344665143,57.675379984763175,339.1837665013924,500.0,402.93247074398334,"t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.2,50,28.58934169278996,9.56175298804781,259.85687344665143,91.67443080343244,1494.42780601731,500.0,1606.6942262298767,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.2,200,28.58934169278996,9.56175298804781,259.85687344665143,91.67443080343244,5782.829059935804,500.0,6120.800809301977,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
0.2,1000,28.58934169278996,9.56175298804781,259.85687344665143,91.67443080343244,28654.30241416777,500.0,30196.035919019847,"fast_accept, agree_good, t1_flag_t2_good, t1_good_t2_defect, t2_unusable"
