t_min,images_per_s,p95_batch_ms
0.1667921821324853,4086.617887443327,16.513416514499113
0.33350475488308196,4088.5964118848005,16.60798698430881
0.5003262889328955,4085.915186864937,16.57099822186865
0.6671069530498547,4080.522952912565,16.525819001253694
0.8338645884000774,4087.480909684998,16.58036462031305
1.0007461286499164,4084.4464488712274,16.586046159500256
1.167485556799996,4087.920934296075,16.518622817238793
1.334270870499313,4080.4087637547727,16.44089795590844
1.5009695689494644,4082.5277081237405,16.547514146077447
1.6677975556163196,4085.7530584064434,16.34499942883849
1.8345732019331384,4080.642830070127,16.531534932437353
2.0013591229663388,4086.7862394988488,16.57310765585862
2.168047753549763,4082.7715535425546,16.664564603706822
2.334853829899415,4079.897168619004,16.668174957158044
2.5017276581328285,4078.241597203593,16.440996201708913
2.6684281120329008,4076.082381228204,16.63022938882932
2.835281633816582,4085.1366544443217,16.584797290852297
3.0022053275160334,4077.024050600126,16.66451737692114
3.1689015289991707,4076.186723452257,16.613038792274892
3.3356819960996895,4080.5226837915766,16.57408915925771
3.502422451566478,4081.520523693067,16.65447244013194
3.66919770706639,4080.653195780679,16.62790294503793
3.8359772152160683,4080.5460035014235,16.423171386122704
4.0027341729165835,4081.0984738396683,16.57708364073187
4.169605008749446,4078.3211256374293,16.620493185473602
4.336445578382699,4079.0515132377186,16.581310148467306
4.5032996778162975,4078.7229208672697,16.510253041633405
4.6700757473163925,4080.6355682314147,16.552741214400154
4.836851447615967,4080.644484557226,16.534531410434283
5.003786517016124,4076.7473886464527,16.610924259293824
5.170562873900053,4080.6256459061674,16.5768779697828
5.337486748482721,4077.0213190310737,16.497052391059697
5.50417695149954,4076.3472845415913,16.564963816199445
5.6710402599662,4078.5031737268187,16.65027738781646
5.837829722749302,4080.3092143581425,16.547800655825995
6.004592643499685,4080.9516992218355,16.465009888634086
6.171268053016198,4076.7004216813334,16.518738598097116
6.338107236099313,4079.0906897574114,16.593026649206877
6.504892618883362,4074.0139602840973,16.64827319327742
6.671742034216489,4078.8429856119083,16.609732233337127
6.83849856761614,4081.1138917018975,16.534230261459015
7.005376545565863,4084.531253572292,16.419322282308716
7.172053070150044,4076.6693321663624,16.65843541268259
7.338935139449314,4084.4308643687004,16.566637973301113
7.505773065132477,4072.7346744364186,16.698612389154732
7.672530328832606,4081.095352601287,16.58319787529763
7.839311720483238,4080.5040440332605,16.63707669940777
8.006075834682754,4080.9268197030538,16.4449072239222
8.172932524816133,4078.6670367636166,16.689562480314635
8.339611811216066,4076.6001503694274,16.607611184008416
8.506478535749677,4078.4166453637285,16.63064839085564
8.673167256183417,4076.373491891876,16.650606831535697
8.839851205799883,4076.4964228980707,16.710019588936117
9.006695601382914,4078.964258697721,16.61764026794117
9.173395669816333,4076.099110678512,16.66458137333393
9.340159110133149,4080.9396365035122,16.48586583614815
9.506837035733042,4076.638586710173,16.635275771841403
9.673699187015881,4078.5279711545995,16.59909414302092
9.840402536283364,4076.015621334864,16.641350195277482
10.007148169765909,4074.982053930062,16.69242919888347
10.173858109982879,4075.856960418337,16.609776578843586
10.34061018229986,4081.2227426567338,16.60675261518918
10.507475690333134,4078.447232902539,16.751435986952856
10.674155474182529,4076.595034122315,16.597456007730216
10.84083453353281,4083.013707991473,16.427398260566406
11.007598415116082,4074.5348149435904,16.603927174583074
11.17446672731603,4078.3772275820284,16.66810284659732
11.341211112166638,4081.4143914116476,16.524633805966005
11.50791017706603,4076.128377144771,16.629050613846623
11.674595255932461,4082.8628698371926,16.714941436657682
11.841439576833121,4078.97195223655,16.677413336583413
12.0082999035328,4078.5722895613862,16.553734822082333
12.17499341823277,4082.657268702661,16.62689157819841
12.341856148466468,4084.906911724497,16.532761085545644
12.508708763916124,4078.765919744178,16.674210125347596
12.675474477050011,4080.889256846772,16.48872508667409
12.84234232053277,4078.394073847999,16.614192191627808
13.009206971199212,4078.46825410316,16.62916018103715
13.175914770649978,4075.9056370735725,16.550494625698775
13.342629919732765,4082.127812388277,16.556220687925816
13.509512145533032,4078.0410525444404,16.541654805769213
13.676359277849164,4078.893999711553,16.52522877266165
13.84319832159963,4079.097173076342,16.673236951464787
14.010052614983094,4085.115367290779,16.63952852250077
14.176766554832769,4075.7606080797095,16.565507987979796
14.343534295516049,4080.838328262419,16.698144571273588
14.510447942933146,4077.270033969916,16.626965985051356
14.67732286398338,4078.2172296948547,16.594351042294875
14.844064727965936,4081.4777420918217,16.54249897401314
15.010765423733393,4082.47776763607,16.650290667894296
